Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
230,12,Scout X-2M,Retired,,440,,,4,,22.00,,
230,13,Scout X-3,Retired,,,87 kg,,4,0,,,
230,14,Scout X-3M,Retired,,,,,4,,22.00,,
230,15,Scout X-4,Retired,,,103 kg,,4,,25.00,,
231,1,Qased,Active,,280,80 kg,0 kg,3,0,18.60,1.0 m,2.6 m
232,1,Atlas-E/F MSD,Retired,,,800 kg,,2,0,,,
232,2,Atlas-H MSD,Retired,,,,,2,0,,,
233,1,Atlas-E/F OIS,Retired,,,870 kg,,2,0,,,
234,1,Atlas-E/F PTS,Retired,,,295 kg,,2,0,,,
236,1,Atlas-E/F Star-17A,Retired,,,,,2,0,,,
236,2,Atlas-E/F Star-37S-ISS,Retired,,,,,2,0,,,
235,1,Atlas-E/F SGS-1,Retired,,,,,3,0,,,
235,2,Atlas-E/F SGS-2,Retired,,,,,3,0,,,
241,1,Thorad SLV-2G Agena-D,Retired,,1571,,,2,3,31.00,,
241,2,Thor-DM18 Agena-A,Retired,,,,,3,0,,,
241,3,Thor DM-21 Agena-B,Retired,,,,,3,0,,,
241,4,Thor DM-21 Agena-D,Retired,,,,,3,0,,,
241,5,Thor-SLV2A Agena-D,Retired,,1571,,,2,3,31.00,,
243,1,Thor DM-19 Delta,Retired,,,,,0,3,,,
242,1,Thor-DM21 Ablestar,Retired,,760,150 kg,,0,2,29.00,,
242,2,Thor-DSV2A Ablestar,Retired,,,,,2,0,,,
244,1,Delta A,Retired,,,320 kg,68 kg,3,0,,,
245,1,Delta B,Retired,,,375 kg,68 kg,3,0,,,
247,1,Ares 1-X,Retired,$450.0 million,12500,,,1,0,94.00,,
248,1,Delta C,Retired,,667,410 kg,82 kg,3,0,31.00,,
248,2,Delta C1,Retired,,,600 kg,,3,0,,,
251,1,Zoljanah,Active,,726,600 kg,,4,0,25.50,1.25 m,
252,1,Amur/Fregat-M,Planned,$22.0 million,4903,"12,500 kg","2,500 kg",3,0,55.00,5.1 m,5.8 m
